Name,Country,Market Value
MS&AD Insurance,Japan,19.186
Aviva,United Kingdom,25.914
Cigna,United States,39.024
Phillips 66,United States,39.884
Valero Energy,United States,29.423
Enbridge,Canada,69.293
MondelÄ“z International,United States,67.353
People's Insurance Company,China,17.472
McDonald's,United States,106.436
ArcelorMittal,Luxembourg,25.103
East Japan Railway,Japan,34.229
Itochu,Japan,22.436
Japan Tobacco,Japan,66.379
EI du Pont de Nemours,United States,69.209
Eli Lilly,United States,94.138
Panasonic,Japan,26.194
Sun Hung Kai Properties,Hong Kong,43.601
Fiat Chrysler Automobiles,United Kingdom,15.549
LafargeHolcim,Switzerland,35.447
Qatar National Bank,Qatar,37.676
Target,United States,29.424
Fresenius,Germany,43.886
Danaher,United States,59.734
Danske Bank,Denmark,31.925
General Dynamics,United States,57.046
Reynolds American,United States,90.618
Denso,Japan,33.59
Bristol-Myers Squibb,United States,88.009
CRRC,China,42.602
ABB,Switzerland,49.879
Exelon,United States,33.329
Cathay Financial,Taiwan,19.775
Sun Life Financial,Canada,21.919
Repsol,Spain,23.823
Kroger,United States,27.299
Abbott Laboratories,United States,75.738
HCA Holdings,United States,32.58
State Bank of India,India,36.549
DBS Group,Singapore,34.424
Oil & Natural Gas,India,37.242
American Airlines Group,United States,21.079
BB&T,United States,35.631
Nike,United States,91.165
Schneider Electric,France,41.911
Thermo Fisher Scientific,United States,59.899
Danone,France,41.979
Samsung Life Insurance,South Korea,18.167
Air Liquide,France,44.98
Huaxia Bank,China,17.58
Orix,Japan,19.75
Bank of Beijing,China,21.469
HDFC Bank,India,57.414
KBC Group,Belgium,27.641
Deere & Company,United States,34.824
Diageo,United Kingdom,71.167
Central Japan Railway,Japan,32.612
Liberty Global,United Kingdom,31.195
Indian Oil,India,30.036
Shinhan Financial Group,South Korea,20.042
Canon,Japan,41.579
Synchrony Financial,United States,26.886
Saint-Gobain,France,28
United Continental Holdings,United States,22.3
Carnival,United States,43.935
HP,United States,29.414
Accenture,Ireland,77.761
Country Garden Holdings,Hong Kong,20.337
State Street,United States,30.089
Volvo Group,Sweden,28.575
Inditex,Spain,112.114
Seven & I Holdings,Japan,37.023
Mitsubishi Electric,Japan,29.875
Bridgestone,Japan,31.743
PG&E,United States,33.967
Cardinal Health,United States,25.978
Telstra,Australia,40.727
Dominion Resources,United States,48.745
Nomura,Japan,21.155
Raytheon,United States,44.916
Henkel,Germany,52.032
Marathon Petroleum,United States,26.404
Merck,Germany,49.092
Peugeot,France,16.86
Tata Motors,India,24.934
Archer Daniels Midland,United States,25.617
CNP Assurances,France,13.836
Natixis,France,19.135
China Huarong Asset Management,China,16.644
Imperial Tobacco Group,United Kingdom,46.494
BCE,Canada,40.536
Northrop Grumman,United States,41.747
LyondellBasell Industries,United Kingdom,35.762
Posco,South Korea,19.18
Telecom Italia,Italy,18.117
Oversea-Chinese Banking,Singapore,28.845
KB Financial Group,South Korea,17.912
Charles Schwab,United States,53.338
Orange,France,40.4
Surgutneftegas,Russia,18.524
Sompo,Japan,14.379
Gas Natural Fenosa,Spain,21.705
WPP,United Kingdom,27.433
Bank Of Shanghai,China,20.741
ICICI Bank,India,25.124
Poly Real Estate,China,16.639
Hyundai Mobis,South Korea,18.865
DNB,Norway,25.629
Philips,Netherlands,28.936
AmerisourceBergen,United States,19.013
Heineken Holding,Netherlands,22.966
CRH,Ireland,28.99
Discover Financial Services,United States,25.33
Safran,France,32.196
Etisalat,United Arab Emirates,42.739
CaixaBank,Spain,25.732
Eaton,Ireland,33.449
Fubon Financial,Taiwan,16.092
Sumitomo,Japan,16.763
SunTrust Banks,United States,27.2
Greenland Holdings Group,China,14.252
China Cinda Asset Management,China,14.686
Anglo American,United Kingdom,19.774
China Resources Land,Hong Kong,19.847
Royal Ahold Delhaize N.V.,Netherlands,26.002
SingTel,Singapore,45.181
United Overseas Bank,Singapore,25.618
Subaru,Japan,27.286
Automatic Data Processing,United States,45.873
Midea Group,China,31.504
Linde,Germany,31.294
KIA Motors,South Korea,12.564
Hartford Financial Services,United States,17.884
Southwest Airlines,United States,33.556
AmÃ©rica MÃ³vil,Mexico,47.344
Principal Financial Group,United States,18.04
Fannie Mae,United States,2.849
Ameriprise Financial,United States,19.895
Macquarie Group,Australia,21.155
