Name,Country,Market Value
Schindler Holding,Switzerland,19.819
AvalonBay Communities,United States,25.402
Cencosud,Chile,8.989
JBS,Brazil,8.194
Uniper,Germany,6.147
Suning Appliance,China,14.777
Yahoo!,United States,44.419
L3 Technologies,United States,12.901
CEZ Group,Czech Republic,9.19
PKO Bank Polski,Poland,10.5
Alliance Data Systems,United States,14.039
AerCap Holdings,Ireland,7.646
Genuine Parts,United States,13.333
Fortis (Canada),Canada,13.622
Infineon Technologies,Germany,22.545
Klepierre,France,12.398
Randstad Holding,Netherlands,10.272
Skanska,Sweden,9.297
Raymond James Financial,United States,10.894
Gemdale,China,7.347
Invesco,United States,12.256
DSM,Netherlands,12.054
Ageas,Belgium,7.966
Zhejiang Zheneng Electric Power,China,11.356
Mahindra & Mahindra,India,11.758
Swatch Group,Switzerland,19.271
Huishang Bank,China,5.347
Vornado Realty,United States,19.223
Everest Re Group,Bermuda,9.511
Bank Hapoalim,Israel,7.923
Shimao Property Holdings,Hong Kong,5.649
Saudi British Bank,Saudi Arabia,8.799
Bank Negara Indonesia,Indonesia,9.064
Inner Mongolia Yili,China,16.399
Asr Nederland,Netherlands,4.268
Beiersdorf,Germany,24.059
Sharp,Japan,20.524
Salesforce.com,United States,59.699
Aluminum Corp of China,China,9.907
Mercantil Servicios,Venezuela,2.725
Halkbank,Turkey,3.462
Guangzhou R&F,China,5.391
Tesla,United States,49.343
Tokyu,Japan,8.995
Neste Oil,Finland,9.973
CMS Energy,United States,12.587
Conagra Brands,United States,17.229
China Shipbuilding Industry,China,20.388
Jeronimo Martins,Portugal,11.242
Fairfax Financial,Canada,11.203
Westfield,Australia,14.045
Keyence,Japan,48.341
Banque Saudi Fransi,Saudi Arabia,8.427
Towngas,Hong Kong,26.023
Galaxy Entertainment,Hong Kong,23.83
WR Berkley,United States,8.6
CapitaLand,Singapore,11.378
Shimizu,Japan,7.185
Snam,Italy,14.995
VakifBank,Turkey,3.717
Baker Hughes,United States,26.065
Onex,Canada,7.296
Publicis Groupe,France,15.421
St. James's Place,United Kingdom,6.744
Hershey,United States,22.692
CenterPoint Energy,United States,12.024
HCL Technologies,India,18.658
Riyad Bank,Saudi Arabia,8.271
TUI,Germany,7.922
BOE Technology Group,China,18.436
UC Rusal,Russia,7.939
Idemitsu Kosan,Japan,5.576
WestRock,United States,12.797
Deutsche Wohnen,Germany,12.015
Public Storage,United States,38.796
Mebuki Financial Group,Japan,4.472
Comerica,United States,12.014
Voya Financial,United States,7.049
Arch Capital Group,Bermuda,11.534
Daito Trust Construction,Japan,10.448
Fiserv,United States,24.851
Ventas,United States,23.019
CBRE Group,United States,11.13
Huadian Power International,China,6.761
Markel,United States,13.631
Fidelity National Financial,United States,10.404
Inpex,Japan,14.856
Leucadia National,United States,9.459
China Coal Energy,China,10.298
Ultrapar Participacoes,Brazil,12.51
Bank Of Hangzhou,China,8.613
Electronic Arts,United States,27.352
Fortive,United States,20.923
CP All,Thailand,15.968
Amphenol,United States,21.466
Regeneron Pharmaceuticals,United States,40.369
Mediobanca,Italy,7.568
Asahi Glass,Japan,9.218
Universal Health,United States,11.906
Mediatek,Taiwan,11.13
Singapore Airlines,Singapore,8.412
Banco BTG Pactual Participations,Bermuda,5.697
Suntory Beverage & Food,Japan,13.31
Shanghai Pharmaceuticals,China,9.105
Netflix,United States,61.596
CGI Group,Canada,14.149
Gap,United States,9.617
Hankyu Hanshin Holdings,Japan,8.246
Dr Pepper Snapple Group,United States,17.745
Cincinnati Financial,United States,11.577
Dongbu Insurance,South Korea,4.11
Power Assets Holdings,Hong Kong,18.884
Bank of East Asia,Hong Kong,11.199
Harris,United States,13.712
YPF,Argentina,9.943
Finatis,France,0.292
Nielsen,United States,14.902
Novolipetsk Steel,Russia,11.639
Kuwait Finance House,Kuwait,10.052
China Grand Automotive Services,China,7.391
EnBW-Energie Baden,Germany,6.489
Dubai Islamic Bank,United Arab Emirates,7.804
Hikvision,China,28.898
Navient,United States,4.272
South32,Australia,11.634
Tokyo Electron,Japan,18.053
BDO Unibank,Philippines,10.216
Kohl's,United States,6.756
MTN Group,South Africa,16.588
WW Grainger,United States,13.463
Severstal,Russia,12.328
Sun Pharma Industries,India,24.87
Weichai Power,China,6.978
Arrow Electronics,United States,6.31
Grupa PZU,Poland,8.133
PTT Global Chemical,Thailand,9.481
Bank Leumi,Israel,6.658
China Resources Pharmaceutical Group,Hong Kong,7.312
Geely Automobile Holdings,Hong Kong,12.667
Insurance Australia Group,Australia,10.632
E-Trade Financial,United States,9.582
Nintendo,Japan,32.839
Stora Enso,Finland,9.511
BBMG,China,8.873
Seagate Technology,Ireland,13.829
TDK,Japan,7.683
Uni-President,Taiwan,10.428
Rockwell Automation,United States,19.969
Henry Schein,United States,13.269
Meiji Holdings,Japan,12.671
Intuit,United States,30.3
Lixil Group,Japan,7.712
London Stock Exchange,United Kingdom,14.036
Amadeus IT Group,Spain,21.82
Arconic,United States,11.635
Zoetis,United States,25.833
Helvetia Holding,Switzerland,5.394
Advanced Semiconductor,Taiwan,10.048
Yamaha Motor,Japan,7.96
Alleghany,United States,9.444
Crown Castle International,United States,34.148
ZTE,China,9.941
Grupo Inbursa,Mexico,11.177
Inter Rao,Russia,7.496
Newmont Mining,United States,18.236
AES,United States,7.279
Oneok,United States,11.851
Schroders,United Kingdom,10.902
C.H. Robinson,United States,10.737
Quest Diagnostics,United States,13.419
Mitsubishi UFJ Lease,Japan,4.343
Expedia,United States,18.949
Boston Properties,United States,20.719
Beijing Enterprises,Hong Kong,6.611
Restaurant Brands International,Canada,13.136
Analog Devices,United States,29.211
Liberty Expedia Holdings,United States,2.6
KPN,Netherlands,12.604
GS Holdings,South Korea,4.79
OTP Bank,Hungary,7.921
Roper Technologies,United States,21.211
Host Hotels & Resorts,United States,13.528
Asustek Computer,Taiwan,7.252
Interpublic Group,United States,9.515
QuintilesIMS,United States,18.679
Tata Steel,India,7.455
Bankinter,Spain,7.609
Campbell Soup,United States,17.17
Osaka Gas,Japan,7.952
First Financial Holding,Taiwan,7.314
Lotte Shopping,South Korea,5.744
Vienna Insurance Group,Austria,3.088
SMC,Japan,19.124
Investec,United Kingdom,6.307
Power Finance,India,6.259
Voestalpine,Austria,7.059
Hydro One,Canada,10.779
Whole Foods Market,United States,9.898
Japan Exchange Group,Japan,7.79
Fortum,Finland,12.45
Grupo Bimbo,Mexico,11.835
Alrosa,Russia,11.416
China National Building,China,3.738
Saputo,Canada,13.181
Shanghai Construction,China,5.467
Mondi,United Kingdom,11.721
Shin Kong Financial,Taiwan,2.843
SDIC Power Holdings,China,7.672
Land Securities Group,United Kingdom,10.769
China Hongqiao Group,China,6.587
Clorox,United States,17.088
Cielo,Brazil,20.92
Assurant,United States,5.243
TCL Corp,China,6.427
Wuliangye Yibin,China,23.49
Thai Beverage,Thailand,17.085
Zions Bancorp,United States,8.405
National Oilwell Varco,United States,14.729
Flextronics International,Singapore,8.751
Hainan Airlines,China,8.422
Yanzhou Coal Mining,China,6.84
Shanghai Electric Group,China,6.741
Xiamen C&D,China,4.644
Lend Lease Group,Australia,6.628
T Rowe Price,United States,16.852
Pgnig Group,Poland,8.594
Galp Energia,Portugal,12.784
Shenzhen Overseas,China,8.933
Kerry Group,Ireland,14.212
Celanese,United States,12.976
Experian,Ireland,18.899
Legrand,France,15.991
Datang International Power,China,8.302
HCP,United States,14.891
SES,Luxembourg,10.627
AGNC Investment,United States,6.637
Bank of Tianjin,China,4.313
Phoenix Group Holdings,United Kingdom,3.525
Harbin Bank,China,3.368
Alaska Air Group,United States,11.03
Cenovus Energy,Canada,11.228
Apache,United States,20.023
Delta Electronics,Taiwan,13.911
Electrolux Group,Sweden,8.041
Hyundai Marine & Fire,South Korea,2.414
Korea Gas,South Korea,3.561
Keppel,Singapore,8.886
Wm Morrison Supermarkets,United Kingdom,6.778
AntarChile,Chile,5.347
SGS,Switzerland,16.43
Hyundai Engineering,South Korea,4.853
Toppan Printing,Japan,7.016
Actelion,Switzerland,30.474
Bank of Baroda,India,6.053
Canadian Tire,Canada,8.529
Intuitive Surgical,United States,28.172
Punjab National Bank,India,4.934
Charoen Pokphand Foods,Thailand,6.269
Renesas Electronics,Japan,16.44
JG Summit Holdings,Philippines,11.593
Ball,United States,12.645
Olympus,Japan,12.811
Sun Art Retail Group,Hong Kong,9.589
BCI-Banco Credito,Chile,7.429
CDW,United States,9.234
Hesteel,China,7.404
Brown-Forman,United States,17.572
Sika,Switzerland,15.44
Hoya,Japan,18.101
SVB Financial Group,United States,9.54
Genworth Financial,United States,2.016
Cerner,United States,19.651
Foot Locker,United States,9.483
Mitsubishi Materials,Japan,3.797
Interactive Brokers Group,United States,14.263
Monster Beverage,United States,25.979
Dover,United States,12.46
Intact Financial,Canada,9.254
Global Logistic Properties,Singapore,9.359
Skyworks Solutions,United States,18.785
Terna,Italy,9.991
Tokyo Century,Japan,3.54
Autoliv,Sweden,8.515
Hindalco Industries,India,6.76
Advance Auto Parts,United States,10.486
Ayala,Philippines,10.696
Paychex,United States,20.905
Rockwell Collins,United States,12.939
Oriental Land,Japan,19.636
Industrial Alliance Insurance,Canada,4.545
Attijariwafa Bank,Morocco,7.54
American Water Works,United States,13.845
Motorola Solutions,United States,13.88
United Rentals,United States,10.405
Norwegian Cruise Line Holdings,United States,10.978
Harley-Davidson,United States,10.697
Hess,United States,15.209
Masraf Al Rayan,Qatar,8.766
Jiangsu Yanghe Brewery,China,18.646
Grifols,Spain,16.844
Orient Securities,China,12.189
Mitsubishi Motors,Japan,9.016
Origin Energy,Australia,9.634
Qantas Airways,Australia,5.282
Advanced Info Service,Thailand,14.995
Pentair,United Kingdom,11.43
Industries Qatar,Qatar,18.397
Nitto Denko,Japan,12.395
Arab National Bank,Saudi Arabia,5.306
Zijin Mining Group,China,10.393
Ricoh,Japan,5.82
Xerox,United States,7.238
Tenet Healthcare,United States,1.723
SCANA,United States,9.347
Jiangxi Copper,China,7.655
Givaudan,Switzerland,16.626
Liberty Broadband,United States,15.727
Chiba Bank,Japan,5.249
Everbright Securities,China,9.871
Smith & Nephew,United Kingdom,13.403
UCB,Belgium,14.557
Industrivarden,Sweden,9.275
PVH,United States,7.969
ALFA,Mexico,7.314
Avnet,United States,5.749
Lundbergs,Sweden,8.142
NRG Energy,United States,5.851
Shionogi,Japan,17.379
Csc Financial,China,6.799
New York Community,United States,6.642
Naver,South Korea,24.043
LARGAN Precision,Taiwan,20.588
Yum China Holdings,United States,11.972
Banco De Venezuela,Venezuela,2.512
CJ Corp,South Korea,4.378
CA,United States,13.325
Top Frontier Investment Holdings,Philippines,1.861
Qatar Islamic Bank,Qatar,6.619
Canara Bank,India,2.833
Mosaic,United States,10.127
Shinsei Bank,Japan,4.649
Braskem,Brazil,7.916
Rural Electrification,India,5.65
Alexion Pharmaceuticals,United States,26.032
Aramark,United States,8.98
Bank of Zhengzhou,China,3.431
Manpower,United States,6.598
Yes Bank,India,11.04
Dexia,Belgium,0.373
Masco,United States,10.718
Torchmark,United States,8.969
Proximus,Belgium,10.424
X5 Retail Group,Netherlands,8.744
RSA Insurance Group,United Kingdom,7.459
Air Canada,Canada,2.695
KLA-Tencor,United States,15.131
Valeant Pharmaceuticals,Canada,3.333
3i Group,United Kingdom,9.108
Bank of India,India,2.307
Check Point Software,Israel,18.043
Taiwan Cooperative Financial,Taiwan,5.939
Community Health Systems,United States,1.016
Huntington Ingalls Industries,United States,9.43
PGE Polska Grupa Energetyczna,Poland,5.281
Sekisui Chemical,Japan,7.792
Brenntag,Germany,8.82
Bombardier,Canada,3.557
Coty,United States,12.738
Genting,Malaysia,7.896
Bank Of Guiyang,China,5.664
PotashCorp,Canada,14.15
W&W-WÃ¼stenrot,Germany,1.826
Sojitz,Japan,3.073
Darden Restaurants,United States,10.3
Sunac China Holdings,China,5.868
Unicharm,Japan,14.474
Ctrip.com International,China,25.141
Jyske Bank,Denmark,4.788
China Life Insurance (Taiwan),Taiwan,3.397
Dai Nippon Printing,Japan,7.199
CIT Group,United States,8.799
IndusInd Bank,India,13.149
Banca MPS,Italy,
Bed Bath & Beyond,United States,5.776
Bank of Chongqing,China,2.704
Marathon Oil,United States,13.775
East West Bancorp,United States,7.448
Nitori Holdings,Japan,15.075
Yamato Holdings,Japan,8.341
Cosco Shipping,China,7.856
SKF Group,Sweden,8.914
GAIL India,India,10.181
PulteGroup,United States,7.381
Signature Bank,United States,7.592
AGL Energy,Australia,13.804
Latam Airlines,Chile,7.965
AutoNation,United States,4.051
Doosan,South Korea,1.609
Transocean,Switzerland,4.859
Hua Nan Financial,Taiwan,5.806
KT&G,South Korea,11.215
LKQ,United States,8.649
Equity Residential,United States,23.142
Amorepacific,South Korea,14.11
Iida Group Holdings,Japan,4.307
Gecina,France,8.687
Edwards Lifesciences,United States,19.949
Medipal Holdings,Japan,3.677
Bunzl,United Kingdom,9.757
El Puerto de Liverpool,Mexico,11.78
Vicinity Centres,Australia,8.591
Delta Lloyd,Netherlands,2.636
Eisai,Japan,14.907
Marks & Spencer,United Kingdom,6.783
Pioneer Natural Resources,United States,32.233
Arab Bank,Jordan,5.657
FonciÃ¨re des RÃ©gions,France,6.296
Sino-Ocean Land Holdings,China,3.704
Nippon Express,Japan,4.778
Dxc Technology,United States,21.518
Nordstrom,United States,7.43
Pandora,Denmark,11.75
GKN,United Kingdom,7.578
Ajinomoto,Japan,10.876
BNK Financial Group,South Korea,2.649
Founder Securities,China,10.083
Vedanta Resources,United Kingdom,2.761
Petronas Chemicals,Malaysia,14.034
Magnitogorsk Iron & Steel,Russia,6.976
Cintas,United States,12.892
Dassault Systemes,France,22.16
Quinenco,Chile,4.301
Nippon Yusen,Japan,3.477
BRF,Brazil,9.316
Hasbro,United States,11.969
Illumina,United States,25.167
Kawasaki Heavy Industries,Japan,4.948
Digital Realty Trust,United States,17.333
Alcoa,United States,6.213
Chugoku Electric Power,Japan,4.041
Koito Manufacturing,Japan,8.054
AmTrust Financial Services,United States,3.23
Juniper Networks,United States,10.568
United Utilities,United Kingdom,8.475
Red ElÃ©ctrica,Spain,10.742
RusHydro,Russia,6.012
Kobe Steel,Japan,3.164
Wyndham Worldwide,United States,8.872
MOL Hungarian Oil,Hungary,7.268
Cathay Pacific Airways,Hong Kong,5.691
JetBlue Airways,United States,7.038
Agilent Technologies,United States,17.03
Wolters Kluwer,Netherlands,11.857
Arkema,France,7.672
Ezdan Holding Group,Qatar,11.512
JSW Steel,India,7.512
Electric Power Development,Japan,4.166
Hexagon,Sweden,14.674
Ahli United Bank,Bahrain,5.939
Kerry Properties,Hong Kong,5.433
Yuanta Financial Holding,Taiwan,5.152
Airports of Thailand,Thailand,16.413
CR Bard,United States,18.034
Hanwha Chemical,South Korea,3.825
Noble Group,Hong Kong,1.752
Frontier Communications,United States,2.417
Ulta Salon Cosmetcs & Fragrance,United States,17.677
Crown Holdings,United States,7.36
Kintetsu,Japan,6.937
Starwood Property Trust,United States,5.89
Arthur J. Gallagher,United States,10.11
Johnson Matthey,United Kingdom,7.264
UGI,United States,8.605
Grupo Televisa,Mexico,15.783
JB Hunt Transport,United States,10.138
Iliad,France,13.078
Next,United Kingdom,7.331
Arca Continental,Mexico,12.479
Uralkali,Russia,8.264
Xilinx,United States,14.06
AAC Technologies Holdings,China,14.358
Gudang Garam,Indonesia,9.85
Banco Davivienda,Colombia,4.79
Mead Johnson Nutrition,United States,16.398
Essex Property Trust,United States,15.303
Amcor,Australia,13.28
Financiere de l'Odet,France,5.41
DCC,Ireland,7.814
Geberit,Switzerland,15.22
Alfresa Holdings,Japan,3.981
Mitsui OSK Lines,Japan,3.683
ICA Gruppen,Sweden,6.766
E.Sun Financial,Taiwan,5.31
Fluor,United States,7.252
Saudi Arabian Mining,Saudi Arabia,12.659
Partners Group Holding,Switzerland,14.729
Mashreq Bank,United Arab Emirates,3.867
Noble Energy,United States,15.059
Caltex Australia,Australia,5.972
Bank Audi,Lebanon,2.758
LG Household & Health Care,South Korea,10.8
Colruyt,Belgium,7.113
Focus Media Information Technology,China,15.4
OMRON,Japan,9.345
Tenaris,Luxembourg,20.255
Old Republic International,United States,5.233
Fukuoka Financial Group,Japan,3.653
Baiyin Nonferrous Group,China,13.433
Dentsply Sirona,United States,14.346
Tractor Supply,United States,9.086
Grupo Carso,Mexico,10.51
Materials Industry Zhongda Group,China,4.516
Almarai,Saudi Arabia,15.054
Open Text,Canada,8.697
RHB Bank,Malaysia,4.756
Targa Resources,United States,11.635
Taylor Wimpey,United Kingdom,7.886
Banca Mediolanum,Italy,5.445
Expeditors International,United States,10.077
Inner Mongolia Baotou Steel,Mongolia,14.631
Metro,Canada,7.008
Stockland Australia,Australia,8.604
Olam International,Singapore,3.804
Pinnacle West,United States,9.4
Chang Hwa Bank,Taiwan,5.474
Samsung SDS,South Korea,9.375
Brambles,Australia,11.183
Verisk Analytics,United States,13.189
Sealed Air,United States,8.3
Union Bank of India,India,1.624
British Land,United Kingdom,8.269
Seiko Epson,Japan,8.284
Barratt Developments,United Kingdom,6.969
NSK,Japan,7.264
Equifax,United States,16.333
Transurban Group,Australia,18.247
Perrigo,Ireland,9.858
Rite Aid,United States,4.847
Coloplast,Denmark,16.292
Newcrest Mining,Australia,14.02
China Merchants Holdings,Hong Kong,7.57
Dassault Aviation,France,10.374
UBI Banca,Italy,3.572
Bajaj Auto,India,12.765
Sabesp,Brazil,7.361
Steel Dynamics,United States,8.54
Ramsay Health Care,Australia,10.51
Equinix,United States,31.126
Coach,United States,11.121
Cosmo Energy Holdings,Japan,1.445
ISS,Denmark,7.233
Coca-Cola HBC,Switzerland,9.388
Goodman Group,Australia,10.802
Aeroports de Paris,France,11.935
E-mart,South Korea,5.539
RiseSun Real Estate Development,China,7.318
China National Chemical,China,6.507
Acciona,Spain,4.576
Fastenal,United States,14.53
Hyundai Glovis,South Korea,4.743
Hanesbrands,United States,7.755
Penske Automotive,United States,3.78
Shoprite Holdings,South Africa,7.871
Gjensidige Forsikring,Norway,7.368
McCormick,United States,12.417
Shanghai Commercial & Savings Bank,Taiwan,4.113
Shiseido,Japan,10.534
AVIC Capita,China,8.132
Melco International Development,Hong Kong,2.841
Citrix Systems,United States,13.001
Goldcorp,Canada,12.605
Realty Income,United States,16.337
AECOM Technology,United States,5.129
ITV,United Kingdom,10.76
Cheniere Energy,United States,11.282
Banco Popular Espanol,Spain,3.589
Agile Property Holdings,China,3.529
NCC Group,Sweden,2.645
Oji Holdings,Japan,4.348
Korean Air,South Korea,2.58
Hong Leong Financial,Malaysia,4.197
Smurfit Kappa Group,Ireland,6.029
Abu Dhabi Islamic Bank,United Arab Emirates,3.398
Hyosung,South Korea,3.93
Aozora Bank,Japan,4.087
Ashtead Group,United Kingdom,10.461
Storebrand,Norway,2.893
Persimmon,United Kingdom,8.206
Ingredion,United States,8.585
KB Insurance,South Korea,1.627
Sistema,Russia,3.684
Taishin Financial Holdings,Taiwan,3.902
Yamaguchi Financial,Japan,2.606
Mizrahi Tefahot Bank,Israel,3.919
Meritz Financial Group,South Korea,1.523
Kangmei Pharmaceutical,China,13.367
IHI,Japan,5.116
Scripps Networks Interactive,United States,10.004
Hang Lung Group,Hong Kong,6.055
Waters,United States,12.557
SEIBU,Japan,5.839
China Longyuan Power,China,6.361
Adient,Ireland,6.263
Blom Bank,Lebanon,2.58
Hokuhoku Financial Group,Japan,2.003
Jiangsu Hengrui Medicine,China,18.657
Ametek,United States,12.455
STMicroelectronics,Switzerland,13.681
Dangote Cement,Nigeria,9.144
SDIC Essence,China,8.23
WÃ¤rtsilÃ¤,Finland,10.806
Oi,Brazil,0.952
Maxim Integrated Products,United States,12.727
Chow Tai Fook Jewellery,Hong Kong,10.09
Shimano,Japan,13.638
Bank Muscat,Oman,2.818
Concordia Financial Group,Japan,5.74
Thai Oil,Thailand,4.393
Axiata Group,Malaysia,10.198
Turkish Airlines,Turkey,2.007
Moscow Exchange,Russia,4.364
Adani Ports & Special Economic Zone,India,11.209
News Corp,United States,7.273
Metalurgica Gerdau,Brazil,1.407
Packaging Corp of America,United States,8.577
Oceanwide Holdings,China,6.945
China Communications Services,China,4.341
Hertz Global Holdings,United States,1.284
Fresnillo,Mexico,14.83
DSV,Denmark,9.329
Alpha Bank,Greece,2.9
FleetCor Technologies,United States,13.433
IDBI Bank,India,2.414
EMS-Chemie Holding,Switzerland,13.614
Whitbread,United Kingdom,9.139
Albemarle,United States,11.733
Taiwan Mobile,Taiwan,12.748
NEX Group,United Kingdom,2.694
Suruga Bank,Japan,4.415
Compal Electronics,Taiwan,2.834
Metropolitan Bank & Trust,Philippines,5.54
Mitsui Chemicals,Japan,4.754
TransDigm Group,United States,12.086
NiSource,United States,7.665
Banco BPI,Portugal,1.647
Taiheiyo Cement,Japan,4.137
Alstom,France,6.637
Liberty Media Corporation Series A Liberty Formula One,United States,6.823
Lindt & Sprungli,Switzerland,14.583
Continental Resources,United States,17.271
Vulcan Materials,United States,16.446
MISC,Malaysia,7.357
Uniqa,Austria,2.374
Companhia Brasileira de Distribuicao,Brazil,5.87
Grupo Bolivar,Colombia,1.438
Hiroshima Bank,Japan,2.555
Yunnan Baiyao Group,China,13.056
Alinma Bank,Saudi Arabia,6.011
Ferrari,Italy,13.589
LG Uplus,South Korea,5.696
Ensco,United Kingdom,2.784
Assured Guaranty,Bermuda,4.804
Banco BPM SpA,Italy,4.318
EFG International,Switzerland,1.748
Rajesh Exports,India,2.78
Wendel,France,5.822
Spirit AeroSystems,United States,6.849
Terumo,Japan,13.148
Office Depot,United States,2.461
Shizuoka Bank,Japan,5.079
Mercuries & Associates,Taiwan,0.56
Bank Otkritie,Russia,4.051
Foshan Haitian Flavouring and Food Company,China,13.982
Staples,United States,6.362
Zhengzhou Yutong Bus,China,6.925
Industrial Securities,China,7.504
Pacific Exploration & Production,Canada,1.621
Ihs Markit,United Kingdom,17.162
Bendigo & Adelaide Bank,Australia,4.223
US Foods,United States,6.113
CCR,Brazil,11.516
Church & Dwight,United States,12.587
Yamada Denki,Japan,4.8
BCV Group,Switzerland,5.863
Hankook Tire,South Korea,5.874
Martin Marietta Materials,United States,13.964
Intelsat,Luxembourg,0.504
Royal Mail,United Kingdom,5.145
Orkla,Norway,9.062
Saipem,Italy,4.491
Aeroflot-Russian Airlines,Russia,3.183
Westlake Chemical,United States,8.662
Canadian Utilities,Canada,7.861
Suzuken,Japan,3.223
Concho Resources,United States,19.147
Hero Motocorp,India,10.003
Pembina Pipeline,Canada,13.039
Union National Bank,United Arab Emirates,3.446
Gunma Bank,Japan,2.251
Novozymes,Denmark,12.197
Avis Budget Group,United States,2.349
Sumitomo Metal Mining,Japan,7.66
China International Marine,China,6.013
ONO Pharmaceutical,Japan,12.283
Maxis,Malaysia,10.838
B3,Brazil,12.798
CNO Financial Group,United States,3.635
Piraeus Bank,Greece,1.632
World Fuel Services,United States,2.483
CJ Cheiljedang,South Korea,4.013
Tiffany & Co.,United States,11.643
XPO Logistics,United States,5.271
BBVA Banco Continental,Peru,6.167
Tech Data,United States,3.433
National Bank of Greece,Greece,2.438
EasyJet,United Kingdom,5.134
HRG Group,United States,3.892
Kyushu Financial Group,Japan,2.766
Boliden,Sweden,8.529
NVR,United States,7.699
Alliant Energy,United States,9.039
Nishi-nippon Financial Holdings,Japan,1.735
Fortune Brands Home & Security,United States,9.496
NetApp,United States,11.055
Snap-on,United States,9.529
Bank of Qingdao,China,3.73
Far East Horizon,Hong Kong,3.61
Garmin,Switzerland,9.977
People's United Financial,United States,6.128
North Pacific Bank,Japan,1.448
Grasim Industries,India,7.673
Banco Comercial Portugues,Portugal,2.896
Moscovskiy Oblastnoi Bank,Russia,0.363
Rexel,France,5.288
Axis Capital Holdings,Bermuda,5.696
Bank of Kyoto,Japan,2.716
Hachijuni Bank,Japan,2.726
Guangdong Investment,Hong Kong,9.385
Chugoku Bank,Japan,2.746
77 Bank,Japan,1.565
STRABAG,Austria,3.849
SBI Holdings,Japan,2.862
Vietin Bank,Vietnam,2.958
GPT Group,Australia,7.008
Shandong Gold Mining,China,9.723
Jabil Circuit,United States,5.235
Sears Holdings,United States,1.215
Smiths Group,United Kingdom,8.007
Eurobank Ergasias,Greece,1.358
Tsinghua Tongfang,China,6.462
BPER Banca,Italy,2.338
China Jinmao,Hong Kong,3.516
Vertex Pharmaceuticals,United States,28.789
Dixons Carphone,United Kingdom,4.475
Incyte,United States,28.557
President Chain Store,Taiwan,8.759
New Residential Investment,United States,5.222
Deutsche Pfandbriefbank,Germany,1.675
MAp,Australia,11.573
BorgWarner,United States,8.095
Chimera Investment,United States,3.79
ProSiebenSat1 Media,Germany,9.916
Shanghai Lujianzi,China,9.587
Tosoh,Japan,5.635
Dana Holding,United States,2.611
Joint Stock Commercial Bank for Foreign Trade of Vietnam,Vietnam,5.843
SL Green Realty,United States,10.823
Beijing Shougang,China,6.287
Sysmex,Japan,12.859
Want Want China,China,9.051
WellCare Health Plans,United States,6.333
Catcher Technology,Taiwan,7.572
Central Bank of India,India,3.035
Iyo Bank,Japan,2.084
Mettler-Toledo International,United States,12.51
New Hope Liuhe,China,4.956
Wistron,Taiwan,2.336
American Equity Investment,United States,2.086
Cnpc Capital,China,25.681
Michael Kors Holdings,United Kingdom,6.1
Ternium,Luxembourg,5.137
Israel Discount Bank,Israel,2.794
Signet Jewelers,Bermuda,4.745
Empire,Canada,4.096
PacWest Bancorp,United States,6.324
Techtronic Industries,Hong Kong,7.619
Tokyu Fudosan,Japan,3.326
Hengan International Group,China,9.211
Moody's,United States,21.639
Juroku Bank,Japan,1.171
AU Optronics,Taiwan,3.819
Commercial Bank For Investment & Development Of Vietnam,Vietnam,2.58
Shaw Communications,Canada,10.115
Haseko,Japan,3.125
Bureau Veritas Registre International de Classific,France,9.38
DSME,South Korea,1.08
CST Brands,United States,3.654
Molina Healthcare,United States,2.65
Brilliance China Automotive Holdings,Hong Kong,8.432
Toho Bank,Japan,0.912
Cattolica Assicurazioni,Italy,1.386
EQT,United States,10.92
Snap,United States,24.413
Tongyang Life Insurance,South Korea,0.945
Samsung Heavy Industries,South Korea,3.386
SinoPac Financial,Taiwan,3.288
INTL FCStone,United States,0.681
Commercial International Bank,Egypt,4.999
Cybg,United Kingdom,3.096
Orient,Japan,3.041
Wynn Resorts,United States,11.907
Hopson Development Holdings,Hong Kong,2.122
JTEKT,Japan,5.265
Nippon Paint,Japan,11.556
Calpine,United States,3.801
BayWa,Germany,1.14
Migdal Insurance,Israel,1.025
Changjiang Securities,China,8.071
Aareal Bank,Germany,2.206
Kansas City Southern,United States,9.308
Dufry,Switzerland,8.012
Interconexion Electrica,Colombia,4.508
San-In Godo Bank,Japan,1.208
Nanto Bank,Japan,0.967
Li & Fung,Hong Kong,3.607
Lupin,India,9.918
Encana,Canada,11.3
City Developments,Singapore,6.705
WPG Holdings,Taiwan,2.17
KWG Property Holding,Hong Kong,2.264
Huntsman,United States,5.914
Sino Land,Hong Kong,5.203
Bohai Financial Investment Holding,China,6.428
Tokyo TY Financial Group,Japan,0.853
Nippon Steel Trading,Japan,1.27
Bank of Greece,Greece,0.24
Performance Food Group,United States,2.411
Ogaki Kyoritsu Bank,Japan,1.166
Hyakugo Bank,Japan,0.994
Daishi Bank,Japan,1.275
Senshu Ikeda Holdings,Japan,1.149
Supervalu,United States,0.996
Nasdaq,United States,11.542
CPFL Energia,Brazil,8.399
Severn Trent,United Kingdom,7.019
PBF Energy,United States,2.274
Crown Resorts,Australia,6.454
Mirae Asset Daewoo,South Korea,5.124
SK Networks,South Korea,1.742
Shiga Bank,Japan,1.335
Banco de Chile,Chile,4.484
Showa Shell Sekiyu,Japan,3.779
Turkcell,Turkey,7.054
Syndicate Bank,India,0.985
Affiliated Managers Group,United States,9.102
Vipshop Holdings,China,6.75
